"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2567","Verify Price (low to high) sorting","firefox","Thu Jul 10 16:45:27 MSK 2025","passed","Thu Jul 10 16:45:30 MSK 2025","Catalog","","",""
"","1767","Add and remove product from cart","firefox","Thu Jul 10 16:45:23 MSK 2025","passed","Thu Jul 10 16:45:24 MSK 2025","Cart","","",""
"","3257","Successful logout","Mobile Safari","Thu Jul 10 16:45:48 MSK 2025","passed","Thu Jul 10 16:45:51 MSK 2025","Logout Tests","","",""
"","1649","Add multy items in cart","chromium","Thu Jul 10 16:45:17 MSK 2025","passed","Thu Jul 10 16:45:18 MSK 2025","Cart","","",""
"","1324","Add product from the product details page","Small Viewport","Thu Jul 10 16:45:56 MSK 2025","passed","Thu Jul 10 16:45:57 MSK 2025","Cart","","",""
"","1627","Add product and verify in cart","Medium Viewport","Thu Jul 10 16:46:01 MSK 2025","passed","Thu Jul 10 16:46:02 MSK 2025","Cart","","",""
"","2935","Add product and verify in cart","Mobile Safari","Thu Jul 10 16:45:48 MSK 2025","passed","Thu Jul 10 16:45:51 MSK 2025","Cart","","",""
"","1085","Successful login","Small Viewport","Thu Jul 10 16:45:53 MSK 2025","passed","Thu Jul 10 16:45:54 MSK 2025","Login tests","","",""
"","3637","Verify Price (low to high) sorting","Mobile Safari","Thu Jul 10 16:45:52 MSK 2025","passed","Thu Jul 10 16:45:56 MSK 2025","Catalog","","",""
"","2898","Successful logout","Mobile Chrome","Thu Jul 10 16:45:41 MSK 2025","passed","Thu Jul 10 16:45:44 MSK 2025","Logout Tests","","",""
"","2598","Verify Name (Z to A) sorting","firefox","Thu Jul 10 16:45:27 MSK 2025","passed","Thu Jul 10 16:45:29 MSK 2025","Catalog","","",""
"","3046","Add multy items in cart","webkit","Thu Jul 10 16:45:34 MSK 2025","passed","Thu Jul 10 16:45:37 MSK 2025","Cart","","",""
"","1394","Add multy items in cart","Small Viewport","Thu Jul 10 16:45:57 MSK 2025","passed","Thu Jul 10 16:45:59 MSK 2025","Cart","","",""
"","2335","Attempt to login with empty credentials","webkit","Thu Jul 10 16:45:32 MSK 2025","passed","Thu Jul 10 16:45:34 MSK 2025","Login tests","","",""
"","2064","Verify Name (Z to A) sorting","Small Viewport","Thu Jul 10 16:45:57 MSK 2025","passed","Thu Jul 10 16:45:59 MSK 2025","Catalog","","",""
"","2082","Add multy items in cart","Mobile Chrome","Thu Jul 10 16:45:42 MSK 2025","passed","Thu Jul 10 16:45:44 MSK 2025","Cart","","",""
"","1607","Attempt to login with empty credentials","chromium","Thu Jul 10 16:45:15 MSK 2025","passed","Thu Jul 10 16:45:16 MSK 2025","Login tests","","",""
"","2818","Add and remove product from cart","Mobile Safari","Thu Jul 10 16:45:48 MSK 2025","passed","Thu Jul 10 16:45:51 MSK 2025","Cart","","",""
"","2693","Add multy items in cart","Mobile Safari","Thu Jul 10 16:45:49 MSK 2025","passed","Thu Jul 10 16:45:52 MSK 2025","Cart","","",""
"","1604","Successful login","chromium","Thu Jul 10 16:45:15 MSK 2025","passed","Thu Jul 10 16:45:17 MSK 2025","Login tests","","",""
"","3543","Add product and verify in cart","firefox","Thu Jul 10 16:45:21 MSK 2025","passed","Thu Jul 10 16:45:25 MSK 2025","Cart","","",""
"","2278","Successful logout","Small Viewport","Thu Jul 10 16:45:55 MSK 2025","passed","Thu Jul 10 16:45:58 MSK 2025","Logout Tests","","",""
"","2465","Add and remove product from cart","Mobile Chrome","Thu Jul 10 16:45:42 MSK 2025","passed","Thu Jul 10 16:45:44 MSK 2025","Cart","","",""
